Mes,ipc,dolar,iipc,fecha,fecha1
jul-22,851.8,131.27,7.4567973703,jun-22,630
ago-22,911.1,131.27,6.9714630666,jun-22,631
sep-22,967.3,147.32,6.5664219994,sep-22,632
oct-22,1028.7,156.91,6.1744920774,oct-22,633
nov-22,1079.3,167.28,5.8850180673,nov-22,634
dic-22,1134.6,177.16,5.5981843822,dic-22,635
ene-23,1203,187,5.2798836243,ene-23,636
feb-23,1282.7,197.15,4.9518203789,feb-23,637
mar-23,1381.2,209.01,4.5986823052,mar-23,638
abr-23,1497.2,222.68,4.2423857868,abr-23,639
may-23,1613.6,239.5,3.9363534953,may-23,640
jun-23,1709.6,256.7,3.7153135236,jun-23,641
jul-23,1818.1,275.25,3.4935922116,jul-23,642
ago-23,2044.3,350.1,3.1070293010,ago-23,643
sep-23,2304.9,349.95,2.7557377760,sep-23,644
oct-23,2496.3,349.95,2.5444457798,oct-23,645
nov-23,2816.1,360.5,2.2554951884,nov-23,646
dic-23,3533.2,808.45,1.7977187818,dic-23,647
ene-24,4261.5,826.4,1.4904845712,ene-24,648
feb-24,4825.8,842.2,1.3161962783,feb-24,649
mar-24,5357.1,858,1.1856601519,mar-24,650
abr-24,5830.2,876.5,1.0894480464,abr-24,651
may-24,6073.7,895.5,1.0457711115,may-24,652
jun-24,6351.7,912,1.0000000000,jun-24,653
jul-24,6351.7,912,1.0000000000,jul-24,654
