variable,valor
rgirasol10,2.28
rcebada10,0.82
rsorgo10,4.37
rtrigo12,2.98
rmaiz12,5.0
rsoja112,2.16
rsoja212,1.75
rgirasol12,1.75
rcebada12,2.79
rsorgo12,4.24
rtrigo13,1.47
rmaiz13,6.61
rsoja113,2.86
rsoja213,2.87
rgirasol13,1.5
rcebada13,0.89
rsorgo13,3.08
rtrigo15,1.32
rmaiz15,5.91
rsoja115,2.41
rsoja215,2.26
rgirasol15,1.73
rcebada15,1.54
rsorgo15,3.33
rtrigo14,1.12
rmaiz14,4.21
rsoja114,2.25
rsoja214,1.98
rgirasol14,1.6
rsorgo14,2.9
rsoja22,1.88
rgirasol2,2.69
rcebada2,3.72
rsorgo2,5.87
rtrigo2,3.72
rmaiz2,7.67
rsoja12,3.43
rgirasol9,2.04
rcebada9,1.27
rsorgo9,4.84
rtrigo9,2.06
rmaiz9,7.34
rsoja19,2.78
rsoja29,2.31
rsorgo4,2.13
rtrigo4,2.08
rmaiz4,5.27
rsoja14,2.04
rsoja24,1.58
rgirasol4,1.82
rcebada4,2.58
rsoja111,2.24
rsoja211,1.85
rgirasol11,1.79
rsorgo11,3.29
rtrigo11,2.09
rmaiz11,4.45
rtrigo16,1.94
rmaiz16,5.97
rsoja116,2.22
rsoja216,1.41
rgirasol16,2.1
rcebada16,2.35
rsorgo16,3.26
gasvartrigo1,0.23816667381023818
gasvartrigo2,0.23797886701112506
gasvartrigo3,0.3336809176225234
gasvartrigo4,0.252039627039627
gasvartrigo5,0.25121683152771235
gasvartrigo6,0.2592455163883735
gasvartrigo7,0.25916305916305915
gasvartrigo8,0.3008257174923841
gasvartrigo9,0.337073929306939
gasvartrigo10,0.33651598111528425
gasvartrigo11,0.33720665299612673
gasvartrigo12,0.25944972253697085
gasvartrigo13,0.3807756868981359
gasvartrigo14,0.4305813234384663
gasvartrigo15,0.47258297258297255
gasvartrigo16,0.37711429464006785
gasvarmaiz1,0.2972098352533135
gasvarmaiz2,0.2972478884416983
gasvarmaiz3,0.4267029445886968
gasvarmaiz4,0.32392129362263844
gasvarmaiz5,0.32379305477131565
gasvarmaiz6,0.29944142512077293
gasvarmaiz7,0.30894200679139755
gasvarmaiz8,0.37577639751552794
gasvarmaiz9,0.4267118824783793
gasvarmaiz10,0.42691406821841604
gasvarmaiz11,0.42696629213483145
gasvarmaiz12,0.3239130434782609
gasvarmaiz13,0.48115503519042296
gasvarmaiz14,0.6107353093049676
gasvarmaiz15,0.6146546016331935
gasvarmaiz16,0.4904049231665575
gasvarsoja11,0.22377022827135357
gasvarsoja12,0.2242282769776159
gasvarsoja13,0.30282445097810284
gasvarsoja14,0.24053807569539443
gasvarsoja15,0.24012784389587452
gasvarsoja16,0.24052245938196878
gasvarsoja17,0.24058507436063234
gasvarsoja18,0.27341950190363024
gasvarsoja19,0.30354453978345564
gasvarsoja110,0.30279381926018417
gasvarsoja111,0.30374940673943995
gasvarsoja112,0.24024855420204252
gasvarsoja113,0.33106428455265663
gasvarsoja114,0.3568844592100406
gasvarsoja115,0.41424849395514257
gasvarsoja116,0.3361168477447547
gasvarsoja21,0.24213582353117238
gasvarsoja22,0.24157065102141795
gasvarsoja23,0.3200750584471514
gasvarsoja24,0.25821102653601913
gasvarsoja25,0.2579767664830877
gasvarsoja26,0.2574286827892129
gasvarsoja27,0.25803558689847744
gasvarsoja28,0.29091817834357453
gasvarsoja29,0.3202887920495893
gasvarsoja210,0.3205712142321295
gasvarsoja211,0.32109185597557693
gasvarsoja212,0.25704793545325105
gasvarsoja213,0.35410420549388216
gasvarsoja214,0.36561629584885397
gasvarsoja215,0.42395554640872607
gasvarsoja216,0.34141514101929743
gasvargirasol1,0.22465986394557821
gasvargirasol2,0.2241635687732342
gasvargirasol3,0.3004115226337449
gasvargirasol4,0.22490842490842491
gasvargirasol5,0.22433333333333333
gasvargirasol6,0.22403846153846155
gasvargirasol7,0.22448377581120946
gasvargirasol8,0.2641860465116279
gasvargirasol9,0.3008169934640523
gasvargirasol10,0.30014619883040944
gasvargirasol11,0.30074487895716945
gasvargirasol12,0.22399999999999998
gasvargirasol13,0.3004444444444444
gasvargirasol14,0.33625
gasvargirasol15,0.4342967244701349
gasvargirasol16,0.33984126984126983
gasvarcebada1,0.27785714285714286
gasvarcebada2,0.2779569892473118
gasvarcebada3,0.38873015873015876
gasvarcebada4,0.35213178294573644
gasvarcebada5,0.29380733944954124
gasvarcebada6,0.3022619047619048
gasvarcebada7,0.3023094688221709
gasvarcebada8,0.3557142857142857
gasvarcebada9,0.39842519685039374
gasvarcebada10,0.3975609756097561
gasvarcebada11,5
gasvarcebada12,0.3017921146953405
gasvarcebada13,0.44831460674157303
gasvarcebada14,5
gasvarcebada15,0.5522727272727272
gasvarcebada16,0.5619148936170213
gasvarsorgo1,0.32763727500569606
gasvarsorgo2,0.3277063651850704
gasvarsorgo3,0.48185076572173335
gasvarsorgo4,0.35766111822449853
gasvarsorgo5,0.35750214697583116
gasvarsorgo6,0.32983429061860436
gasvarsorgo7,0.3402675402675403
gasvarsorgo8,0.43653930610452346
gasvarsorgo9,0.4723265715001252
gasvarsorgo10,0.47181194091949236
gasvarsorgo11,0.47269043013723866
gasvarsorgo12,0.3574899942824471
gasvarsorgo13,0.5324675324675325
gasvarsorgo14,0.6752351097178684
gasvarsorgo15,0.68013468013468
gasvarsorgo16,0.5421081985499164
gesptrigo1,72.0
gespmaiz1,180.0
gespsoja11,180.0
gespsoja21,108.0
gespgirasol1,180.0
gespcebada1,72.0
gespsorgo1,180.0
gesptrigo3,43.2
gespmaiz3,108.0
gespsoja13,108.0
gespsoja23,64.8
gespgirasol3,108.0
gespcebada3,43.2
gespsorgo3,108.0
gesptrigo4,71.3
gespmaiz4,118.8
gespsoja14,118.8
gespsoja24,47.5
gespgirasol4,118.8
gespcebada4,71.3
gespsorgo4,118.8
gesptrigo5,47.5
gespmaiz5,118.8
gespsoja15,118.8
gespsoja25,71.3
gespgirasol5,118.8
gespcebada5,47.5
gespsorgo5,118.8
gesptrigo6,36.0
gespmaiz6,90.0
gespsoja16,90.0
gespsoja26,54.0
gespgirasol6,90.0
gespcebada6,36.0
gespsorgo6,90.0
gesptrigo7,32.4
gespmaiz7,81.0
gespsoja17,81.0
gespsoja27,48.6
gespgirasol7,81.0
gespcebada7,32.4
gespsorgo7,81.0
gesptrigo8,35.3
gespmaiz8,88.2
gespsoja18,88.2
