variable,valor
rtrigo10,2.93
rmaiz10,6.47
rsoja110,2.96
rsoja210,2.57
rgirasol10,2.35
rcebada10,0.59
rsorgo10,4.56
rtrigo12,2.9
rmaiz12,5.39
rsoja112,2.19
rsoja212,1.71
rgirasol12,1.91
rcebada12,2.92
rsorgo12,4.55
rtrigo13,1.66
rmaiz13,6.65
rsoja113,3.06
rsoja213,2.87
rgirasol13,1.72
rcebada13,0.89
rsorgo13,3.11
rtrigo16,2.15
rmaiz16,6.11
rsoja116,2.26
rsoja216,1.4
rgirasol16,2.11
rcebada16,2.67
rsorgo16,3.34
rtrigo11,2.25
rmaiz11,4.5
rsoja111,2.27
rsoja211,1.83
rgirasol11,1.97
rsorgo11,3.56
rsoja114,2.29
rsoja214,2.13
rgirasol14,1.62
rsorgo14,3.04
rtrigo14,1.3
rmaiz14,4.55
rtrigo15,1.37
rmaiz15,6.18
rsoja115,2.62
rsoja215,2.57
rgirasol15,2.04
rcebada15,1.61
rsorgo15,3.37
gasvartrigo1,0.2017446690667405
gasvartrigo2,0.20207890913155246
gasvartrigo3,0.252201002302587
gasvartrigo4,0.20474308300395253
gasvartrigo5,0.204719248415993
gasvartrigo6,0.21250610649731314
gasvartrigo7,0.21234369622576574
gasvartrigo8,0.215121354985158
gasvartrigo9,0.25508490389998134
gasvartrigo10,0.254933966463867
gasvartrigo11,0.2548792270531401
gasvartrigo12,0.2125937031484258
gasvartrigo13,0.27108433734939763
gasvartrigo14,0.30501672240802674
gasvartrigo15,0.29546175817200887
gasvartrigo16,0.26855409504550054
gasvarmaiz1,0.21427738927738926
gasvarmaiz2,0.21427781464277815
gasvarmaiz3,0.2749266862170088
gasvarmaiz4,0.22564612326043734
gasvarmaiz5,0.22551636925670931
gasvarmaiz6,0.2087849037358154
gasvarmaiz7,0.21663163426169205
gasvarmaiz8,0.2245570929781456
gasvarmaiz9,0.27518589589829695
gasvarmaiz10,0.2750456653084165
gasvarmaiz11,0.27474747474747474
gasvarmaiz12,0.2256704334626413
gasvarmaiz13,0.29200273410799726
gasvarmaiz14,0.38291708291708293
gasvarmaiz15,0.3386290085319212
gasvarmaiz16,0.3019639934533551
gasvarsoja11,0.1841615611527116
gasvarsoja12,0.18419732441471573
gasvarsoja13,0.22517054810632794
gasvarsoja14,0.19215976331360948
gasvarsoja15,0.19168399168399167
gasvarsoja16,0.19162742019884876
gasvarsoja17,0.19184371184371185
gasvarsoja18,0.19450937754824682
gasvarsoja19,0.2252782587187732
gasvarsoja110,0.22494802494802496
gasvarsoja111,0.22500847170450694
gasvarsoja112,0.19164032314717247
gasvarsoja113,0.23127199597787834
gasvarsoja114,0.24413839435673496
gasvarsoja115,0.2564885496183206
gasvarsoja116,0.2374404356705242
gasvarsoja21,0.20072631231429514
gasvarsoja22,0.20045248868778281
gasvarsoja23,0.24160055191445326
gasvarsoja24,0.20759493670886076
gasvarsoja25,0.208130081300813
gasvarsoja26,0.2082289803220036
gasvarsoja27,0.20738105824811026
gasvarsoja28,0.21108801108801106
gasvarsoja29,0.24100520992951274
gasvarsoja210,0.24112541155342712
gasvarsoja211,0.24195039932744852
gasvarsoja212,0.20818713450292398
gasvarsoja213,0.253444116858751
gasvarsoja214,0.25424340917298666
gasvarsoja215,0.2698593235558216
gasvarsoja216,0.24241758241758243
gasvargirasol1,0.15739155251141554
gasvargirasol2,0.15763376383763836
gasvargirasol3,0.1982581967213115
gasvargirasol4,0.15768678160919541
gasvargirasol5,0.1580528846153846
gasvargirasol6,0.15778186274509806
gasvargirasol7,0.15763274336283187
gasvargirasol8,0.16316244239631336
gasvargirasol9,0.1987847222222222
gasvargirasol10,0.19853723404255322
gasvargirasol11,0.19892131979695432
gasvargirasol12,0.1578861256544503
gasvargirasol13,0.1985828488372093
gasvargirasol14,0.1930941358024691
gasvargirasol15,0.23636642156862747
gasvargirasol16,0.21267772511848343
gasvarcebada1,0.22404970760233917
gasvarcebada2,0.22396672034353196
gasvarcebada3,0.2884231536926148
gasvarcebada4,0.261348897535668
gasvarcebada5,0.22788623764762592
gasvarcebada6,0.2378190255220418
gasvarcebada7,0.2377009839212863
gasvarcebada8,0.2538226299694189
gasvarcebada9,0.2977430555555555
gasvarcebada10,0.29755178907721286
gasvarcebada11,0.005555555555555556
gasvarcebada12,0.23725266362252664
gasvarcebada13,0.3202247191011236
gasvarcebada14,0.005555555555555556
gasvarcebada15,0.34989648033126297
gasvarcebada16,0.6897627965043696
gasvarsorgo1,0.21931125391333003
gasvarsorgo2,0.21948119907303582
gasvarsorgo3,0.2929798723613157
gasvarsorgo4,0.2312312312312312
gasvarsorgo5,0.23135090946249745
gasvarsorgo6,0.21256332320162108
gasvarsorgo7,0.22127374675705078
gasvarsorgo8,0.2515383887153271
gasvarsorgo9,0.28303802141011436
gasvarsorgo10,0.283312447786132
gasvarsorgo11,0.28330658105939005
gasvarsorgo12,0.23108320251177394
gasvarsorgo13,0.3014852243148063
gasvarsorgo14,0.3950501253132832
gasvarsorgo15,0.34873533983326266
gasvarsorgo16,0.3110921015112632
gesptrigo1,72.0
gespmaiz1,180.0
gespsoja11,180.0
gespsoja21,108.0
gespgirasol1,180.0
gespcebada1,72.0
gespsorgo1,180.0
gesptrigo2,72.0
gespmaiz2,180.0
gespsoja12,180.0
gespsoja22,108.0
gespgirasol2,180.0
gespcebada2,72.0
gespsorgo2,180.0
gesptrigo3,43.2
gespmaiz3,108.0
gespsoja13,108.0
gespsoja23,64.8
gespgirasol3,108.0
gespcebada3,43.2
gespsorgo3,108.0
gesptrigo4,71.3
gespmaiz4,118.8
gespsoja14,118.8
gespsoja24,47.5
gespgirasol4,118.8
gespcebada4,71.3
gespsorgo4,118.8
gesptrigo5,47.5
gespmaiz5,118.8
gespsoja15,118.8
gespsoja25,71.3
gespgirasol5,118.8
gespcebada5,47.5
gespsorgo5,118.8
gesptrigo6,36.0
gespmaiz6,90.0
gespsoja16,90.0
gespsoja26,54.0
gespgirasol6,90.0
gespcebada6,36.0
gespsorgo6,90.0
gesptrigo7,32.4
gespmaiz7,81.0
gespsoja17,81.0
gespsoja27,48.6
gespgirasol7,81.0
gespcebada7,32.4
gespsorgo7,81.0
gesptrigo8,35.3
gespmaiz8,88.2
gespsoja18,88.2
gespsoja28,52.9
gespgirasol8,88.2
gespcebada8,35.3
gespsorgo8,88.2
gesptrigo9,41.8
gespmaiz9,104.4
gespsoja19,104.4
gespsoja29,62.6
gespgirasol9,104.4
gespcebada9,41.8
gespsorgo9,104.4
gesptrigo10,47.5
gespmaiz10,118.8
gespsoja110,118.8
gespsoja210,71.3
gespgirasol10,118.8
