Mes,ipc,dolar,iipc,fecha,fecha1
julio - 2022,851.8,131.27,8.08100493,jul-22,630
agosto - 2022,911.1,131.27,7.55504335,ago-22,631
septiembre - 2022,967.3,147.32,7.11609635,sep-22,632
octubre - 2022,1028.7,156.91,6.69135802,oct-22,633
noviembre - 2022,1079.3,167.28,6.37765218,nov-22,634
diciembre - 2022,1134.6,177.16,6.06680769,dic-22,635
enero - 2023,1203,187,5.72186201,ene-23,636
febrero - 2023,1282.7,197.15,5.36633663,feb-23,637
marzo - 2023,1381.2,209.01,4.98363742,mar-23,638
abril - 2023,1497.2,222.68,4.59751536,abr-23,639
mayo - 2023,1613.6,239.5,4.26586515,may-23,640
junio - 2023,1709.6,256.7,4.02632195,jun-23,641
julio - 2023,1818.1,275.25,3.78604037,jul-23,642
agosto - 2023,2044.3,350.1,3.36711833,ago-23,643
septiembre - 2023,2304.9,349.95,2.98642024,sep-23,644
octubre - 2023,2496.3,349.95,2.75744101,oct-23,645
noviembre - 2023,2816.1,360.5,2.44430240,nov-23,646
diciembre - 2023,3533.2,808.45,1.94820559,dic-23,647
enero - 2024,4261.5,826.4,1.61525285,ene-24,648
febrero - 2024,4825.8,842.2,1.42637490,feb-24,649
marzo - 2024,5357.1,858,1.28491161,mar-24,650
abril - 2024,5830.2,876.5,1.18064560,abr-24,651
mayo - 2024,6073.7,895.5,1.13331248,may-24,652
junio - 2024,6351.7,912,1.08370987,jun-24,653
julio - 2024,6607.7,932,1.04172405,jul-24,654
jagosto - 2024,6883.4,953.5,1,ago-24,655
jseptiembre - 2024,6883.4,969,1,sep-24,656
