Mes,ipc,dolar,iipc,fecha,fecha1
Noviembre - 2022,1079.3,167.28,8.360974705827852,11/2022,634
Diciembre - 2022,1134.6,177.16,7.953463775780011,12/2022,635
Enero - 2023,1203.0,187.0,7.501246882793017,01/2023,636
Febrero - 2023,1282.7,197.15,7.035160208934279,02/2023,637
Marzo - 2023,1381.2,209.01,6.533449174630755,03/2023,638
Abril - 2023,1497.2,222.68,6.02725086828747,04/2023,639
Mayo - 2023,1613.6,239.5,5.592464055528012,05/2023,640
Junio - 2023,1709.6,256.7,5.278427702386524,06/2023,641
Julio - 2023,1818.1,275.25,4.963423354050932,07/2023,642
Agosto - 2023,2044.3,350.1,4.414224918064863,08/2023,643
Septiembre - 2023,2304.9,349.95,3.9151373161525442,09/2023,644
Octubre - 2023,2496.3,349.95,3.614950126186756,10/2023,645
Noviembre - 2023,2816.1,360.5,3.2044316608075,11/2023,646
Diciembre - 2023,3533.2,808.45,2.5540586437224047,12/2023,647
Enero - 2024,4261.5,826.4,2.1175642379443858,01/2024,648
Febrero - 2024,4825.8,842.2,1.8699490239960213,02/2024,649
Marzo - 2024,5357.1,858.0,1.6844934759478074,03/2024,650
Abril - 2024,5830.2,876.5,1.54780281980035,04/2024,651
Mayo - 2024,6073.7,895.5,1.4857500370449643,05/2024,652
Junio - 2024,6351.7,912.0,1.420722011430011,06/2024,653
Julio - 2024,6607.7,932.0,1.3656794345990284,07/2024,654
Agosto - 2024,6883.4,953.5,1.3109800389342476,08/2024,655
Septiembre - 2024,7122.2,969.0,1.2670242340849738,09/2024,656
Octubre - 2024,7314.0,992.0,1.2337981952420016,10/2024,657
Noviembre - 2024,7491.4,1011.5,1.204581253170302,11/2024,658
Diciembre - 2024,7694.0,1032.0,1.1728619703665193,12/2024,659
Enero - 2025,7864.1,1053.5,1.1474930379827315,01/2025,660
Febrero - 2025,8053.0,1063.25,1.1205761827890228,02/2025,661
Marzo - 2025,8353.3,1073.0,1.080291621275424,03/2025,662
Abril - 2025,8585.6,1172.0,1.0510622437569883,04/2025,663
Mayo - 2025,8714.5,1189.0,1.0355155201101611,05/2025,664
Junio - 2025,8855.7,1203.0,1.0190047088315999,06/2025,665
Julio - 2025,9024.0,1373.0,1.0,07/2025,666
